iter	Passed	Remaining
943	23443	1390
944	23465	1365
945	23488	1340
946	23510	1315
947	23532	1290
948	23555	1265
949	23577	1240
950	23600	1215
951	23625	1191
952	23651	1166
953	23677	1141
954	23704	1116
955	23735	1092
956	23766	1067
957	23793	1043
958	23822	1018
959	23854	993
960	23887	969
961	23920	944
962	23956	920
963	23996	896
964	24033	871
965	24067	847
966	24098	822
967	24131	797
968	24162	773
969	24192	748
970	24220	723
971	24251	698
972	24278	673
973	24312	649
974	24345	624
975	24374	599
976	24400	574
977	24427	549
978	24453	524
979	24480	499
980	24507	474
981	24535	449
982	24561	424
983	24590	399
984	24617	374
985	24645	349
986	24674	324
987	24705	300
988	24737	275
989	24766	250
990	24794	225
991	24823	200
992	24853	175
993	24883	150
994	24913	125
995	24945	100
996	24978	75
997	25010	50
998	25041	25
999	25078	0
